algo,seed,episode,episode_return,episode_len,mean_forward_speed
a2c,0,0,2.2149686908856316,412,0.0060822742296329805
a2c,0,1,5.002860005693483,459,0.00543602243068875
a2c,0,2,5.002860005693483,459,0.00543602243068875
a2c,0,3,5.002860005693483,459,0.00543602243068875
a2c,0,4,5.002860005693483,459,0.00543602243068875
a2c,0,5,5.002860005693483,459,0.00543602243068875
a2c,0,6,5.002860005693483,459,0.00543602243068875
a2c,0,7,5.002860005693483,459,0.00543602243068875
a2c,0,8,5.002860005693483,459,0.00543602243068875
a2c,0,9,5.002860005693483,459,0.00543602243068875
ppo,0,0,-1.1559161487354725,162,0.04480523024202691
ppo,0,1,-1.0972401077609915,162,0.04687393722605151
ppo,0,2,-1.0972401077609915,162,0.04687393722605151
ppo,0,3,-1.0972401077609915,162,0.04687393722605151
ppo,0,4,-1.0972401077609915,162,0.04687393722605151
ppo,0,5,-1.0972401077609915,162,0.04687393722605151
ppo,0,6,-1.0972401077609915,162,0.04687393722605151
ppo,0,7,-1.0972401077609915,162,0.04687393722605151
ppo,0,8,-1.0972401077609915,162,0.04687393722605151
ppo,0,9,-1.0972401077609915,162,0.04687393722605151
sac,0,0,-17.46742426806189,192,0.10407494321182616
sac,0,1,-21.449032123119252,198,-0.0688236957290813
sac,0,2,-21.449032123119252,198,-0.0688236957290813
sac,0,3,-21.449032123119252,198,-0.0688236957290813
sac,0,4,-21.449032123119252,198,-0.0688236957290813
sac,0,5,-21.449032123119252,198,-0.0688236957290813
sac,0,6,-21.449032123119252,198,-0.0688236957290813
sac,0,7,-21.449032123119252,198,-0.0688236957290813
sac,0,8,-21.449032123119252,198,-0.0688236957290813
sac,0,9,-21.449032123119252,198,-0.0688236957290813
tqc,0,0,-24.841076600444822,177,0.0921333509208857
tqc,0,1,-16.746937941765946,181,0.05251725664819761
tqc,0,2,-16.746937941765946,181,0.05251725664819761
tqc,0,3,-16.746937941765946,181,0.05251725664819761
tqc,0,4,-16.746937941765946,181,0.05251725664819761
tqc,0,5,-16.746937941765946,181,0.05251725664819761
tqc,0,6,-16.746937941765946,181,0.05251725664819761
tqc,0,7,-16.746937941765946,181,0.05251725664819761
tqc,0,8,-16.746937941765946,181,0.05251725664819761
tqc,0,9,-16.746937941765946,181,0.05251725664819761
