algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,157.1567912092622,599,0.0682149169654373
ppo,0,1,157.1567912092622,599,0.0682149169654373
ppo,0,2,157.1567912092622,599,0.0682149169654373
ppo,0,3,157.1567912092622,599,0.0682149169654373
ppo,0,4,157.1567912092622,599,0.0682149169654373
ppo,0,5,157.1567912092622,599,0.0682149169654373
ppo,0,6,157.1567912092622,599,0.0682149169654373
ppo,0,7,157.1567912092622,599,0.0682149169654373
ppo,0,8,157.1567912092622,599,0.0682149169654373
ppo,0,9,157.1567912092622,599,0.0682149169654373
