#{"t_start": 1776810512.555948, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
35.525724,224,1.531375
31.261428,198,1.767179
23.873261,189,1.946438
35.737112,264,2.280916
41.71739,215,2.545255
28.378765,223,2.789885
52.892503,267,3.080153
36.946584,269,3.383308
30.171594,203,4.674362
41.824104,229,4.936488
47.322054,238,5.194224
31.515746,237,5.489073
30.32366,226,5.777059
57.976274,282,6.075964
27.495521,247,6.401358
36.348663,206,6.62839
25.588332,185,6.977796
17.351118,211,9.459774
32.801634,206,9.681331
36.281371,260,10.003105
18.880599,217,10.279957
25.329069,236,10.597008
49.386698,239,10.892687
20.370781,177,11.075678
42.283198,241,11.391778
47.281467,244,11.689772
21.863715,180,11.860064
27.351647,190,12.869602
34.976486,300,13.153634
12.73243,199,13.349535
37.004017,259,13.592469
39.258338,208,13.773912
38.99065,210,13.954483
46.351854,298,14.241953
35.088363,260,14.52428
46.621341,222,15.611105
31.796471,194,15.784844
50.492047,248,16.015893
16.256864,227,16.219465
27.802103,195,16.412822
23.923883,234,16.61226
40.58577,213,16.783266
31.011803,244,16.992271
11.399587,203,17.173014
45.404435,303,18.197236
47.381352,257,18.457526
45.776805,253,18.682606
21.124235,232,18.912282
36.853979,207,19.092212
29.417609,234,19.33383
23.221658,180,19.500175
28.733873,193,19.661064
13.958287,197,19.825549
34.878744,227,20.798318
36.841112,277,21.054128
39.49327,214,21.250124
16.600012,172,21.386458
32.408884,204,21.570006
15.321993,205,21.753108
24.063553,183,21.895024
36.0487,262,22.140923
25.032206,184,22.32722
16.7798,212,22.530478
39.728363,223,23.448659
26.473766,217,23.640267
35.328391,208,23.818751
42.764958,230,24.072061
33.431426,260,24.312576
56.328632,323,24.622712
58.029189,290,24.848162
24.83919,191,24.988618
49.403946,263,25.97153
24.603861,183,26.12467
30.370347,201,26.301414
23.203564,181,26.450703
50.124806,284,26.706771
32.493183,214,26.881714
20.813026,185,27.036217
26.576951,250,27.227732
49.43075,243,27.459451
43.506718,256,27.681361
27.68682,193,28.528556
38.928713,220,28.715426
29.409279,188,28.882676
31.803863,197,29.048074
30.041793,190,29.202192
28.418343,192,29.370479
41.114703,214,29.555245
29.523102,187,29.692301
39.371646,221,29.86666
37.768273,213,30.039825
20.505706,183,30.891368
32.187406,196,31.045569
50.928413,231,31.234016
26.200762,189,31.394388
62.523782,337,31.685834
27.620582,191,31.824179
43.627382,225,32.003485
19.573407,207,32.162491
29.668072,243,32.384471
34.251801,206,33.22233
46.763356,246,33.428117
50.358649,261,33.682364
19.365319,214,33.859301
26.864562,190,34.013702
28.168896,194,34.172465
26.895529,188,34.338156
30.945167,195,34.515189
52.545471,266,34.74105
59.190373,282,35.734241
38.687966,227,35.922734
39.536101,224,36.101353
28.086496,191,36.261002
18.955828,210,36.458817
27.163823,183,36.605088
42.989475,229,36.796503
38.456705,228,37.000436
21.401635,178,37.141551
43.049067,290,38.110605
42.346316,230,38.318806
54.255084,254,38.562028
32.578455,204,38.722571
25.333585,238,38.928284
30.014574,190,39.078789
40.90464,227,39.267171
26.448747,193,39.448063
49.188974,246,39.649311
25.266473,194,40.219751
58.101785,260,44.926244
34.026017,199,45.328016
17.241436,182,45.69324
34.323825,243,46.02485
30.011654,250,46.398113
33.352466,209,46.675997
48.81892,244,47.017522
40.822672,221,47.330279
28.288051,196,47.588163
29.949203,196,48.868286
34.382435,216,49.125956
24.710227,222,49.556176
30.330641,194,49.976349
37.230624,203,50.450836
37.665154,213,51.417413
32.691022,281,52.573145
38.785709,227,53.301147
107.490608,408,56.780873
33.46954,263,57.661438
30.560428,213,58.147856
35.763258,243,58.79497
39.037812,209,59.269925
22.627673,184,59.733075
40.218149,238,60.225469
34.128441,247,60.938566
32.812645,199,61.563468
42.598598,262,64.220023
29.403205,189,64.702635
62.037773,312,65.496155
36.90757,225,65.947844
33.10376,195,66.356765
52.071589,251,66.940036
31.325969,199,67.453937
25.198635,184,67.893223
33.050522,198,68.297209
57.895237,271,68.929948
56.846779,273,70.530348
54.577971,258,70.780239
30.794661,191,70.962408
46.451657,244,71.184525
35.666331,227,71.399835
36.911271,231,71.628413
18.617745,209,71.809546
46.228932,248,72.076139
46.267,217,73.040696
53.356571,290,73.321876
24.556692,194,73.473368
41.372332,231,73.66948
46.770869,249,73.885491
44.408597,227,74.059918
64.757597,305,74.327768
30.861986,197,74.46976
31.824169,209,74.646185
33.799859,205,75.542371
39.059941,218,75.728624
41.290918,220,75.926485
34.143167,216,76.104077
39.635801,214,76.303578
18.350084,206,76.471735
33.798003,207,76.640902
31.072545,197,76.806606
57.990574,277,77.037852
37.591828,222,77.928718
48.708859,250,78.133521
43.425148,223,78.313066
37.072968,210,78.474143
30.33069,205,78.638776
46.227621,245,78.853179
31.869914,198,79.01134
33.688912,196,79.171086
52.126485,347,79.499294
31.675552,204,80.353102
44.750381,236,80.541632
39.864997,219,80.707951
35.63485,205,80.888334
37.741463,209,81.060764
34.056746,214,81.243176
23.348813,228,81.436511
48.696319,253,81.654199
45.381058,251,81.849896
51.974297,234,82.71696
56.075862,270,83.079677
45.009503,232,83.265825
42.336976,223,83.462336
34.064503,202,83.626494
35.012541,273,83.960973
35.025238,202,84.139609
28.596696,200,84.295019
31.625253,254,84.567542
43.802281,245,85.558666
59.47829,267,85.791734
26.917829,211,85.948832
44.496801,250,86.210331
39.767428,225,86.385361
28.041852,192,86.523942
32.295749,211,86.687737
47.863118,252,86.902907
29.9305,216,87.080338
28.158839,187,87.911175
61.821618,290,88.171474
57.881873,326,88.488576
24.911396,192,88.644936
56.177611,254,88.893981
31.937957,195,89.06632
36.243267,215,89.264744
43.978112,244,89.52368
50.568121,244,89.754562
42.462212,292,90.712454
33.407596,260,90.963007
46.234333,234,91.154416
23.813238,174,91.290244
27.911623,182,91.454228
56.161346,272,91.719948
56.121642,254,91.968179
49.866843,252,92.149734
38.498428,219,93.031237
28.766232,199,93.186009
36.656068,221,93.352098
27.178781,191,93.480491
47.187246,237,93.672127
39.173158,225,93.875729
28.344075,186,94.016454
39.778939,218,94.184844
49.111522,256,94.396172
58.438811,264,95.203389
36.147895,213,95.375444
29.728941,185,95.508114
76.133884,326,95.769876
38.584683,217,95.939296
33.712249,202,96.082741
60.894215,295,96.316678
46.958377,244,96.497561
55.783879,306,96.738751
50.518571,247,97.534227
31.945685,201,97.676604
42.68502,228,97.877905
40.859415,237,98.058787
47.132897,235,98.224735
41.165024,217,98.397229
35.150261,198,98.543431
75.575487,326,98.805162
23.111455,228,99.593593
44.002687,238,99.780227
29.148636,194,99.940003
43.058078,237,100.122322
32.077447,200,100.272085
37.281108,212,100.416526
45.26215,280,100.655137
46.262667,297,100.912948
64.506755,297,101.16014
93.131092,361,102.080762
42.241891,220,102.243794
55.828001,261,102.436238
40.605862,233,102.598277
50.655644,238,102.791199
36.962312,211,102.967127
37.326741,222,103.112356
26.448822,195,103.253814
45.045981,232,104.057301
41.748166,225,104.242442
40.943854,223,104.402744
67.682202,317,104.668001
62.476579,279,104.90182
39.313733,205,105.010693
50.462053,255,105.142914
27.103425,188,105.227425
48.184961,253,105.345639
49.948614,244,105.816315
58.998809,285,105.950683
32.92234,202,106.03671
42.552057,223,106.133656
31.739129,200,106.217892
42.292216,220,106.30981
40.935422,221,106.403286
54.101899,273,106.523092
62.31966,305,107.007692
29.514658,199,107.087332
42.252081,222,107.181812
57.063269,281,107.307506
34.156693,209,107.397708
25.415945,179,107.467479
60.342618,305,107.605583
40.031206,215,107.690649
56.434848,256,107.789919
63.164904,290,108.27406
46.975781,230,108.371465
32.038544,194,108.446471
30.821728,202,108.533513
31.114734,196,108.61554
46.753082,235,108.716727
35.313858,213,108.808011
32.774372,262,108.940291
48.248019,286,109.085304
33.951403,211,109.531866
40.129252,222,109.632732
45.910062,241,109.747659
88.42767,369,109.929043
74.056804,327,110.08644
51.717799,259,110.203986
49.554865,237,110.30071
42.414615,224,110.748262
41.590409,216,110.846465
50.089018,242,110.955345
35.583815,208,111.048213
35.159092,204,111.136403
51.122762,337,111.29819
44.173618,217,111.395707
48.455896,239,111.504436
72.331317,317,111.649606
39.04576,216,112.103124
47.635167,253,112.222765
35.365697,212,112.318659
61.359103,270,112.433
27.717913,190,112.510409
64.741459,291,112.64744
36.900883,208,112.735408
30.622039,221,112.833011
48.600302,249,113.300404
60.957451,283,113.437562
60.25552,292,113.580093
41.161593,234,113.682229
30.293506,228,113.782575
61.311167,343,113.95563
37.90992,212,114.047706
63.489466,305,114.189232
46.104136,227,114.642819
45.962636,222,114.740263
55.01239,250,114.855851
48.331222,229,114.952311
49.75604,246,115.06112
75.232857,328,115.22707
43.258567,230,115.328261
78.452697,323,115.483825
35.65523,254,115.97073
24.032019,222,116.071895
44.591676,232,116.177211
66.823125,341,116.359955
50.304175,258,116.477016
67.148365,301,116.61098
37.248657,261,116.737665
63.834852,292,116.871817
52.299314,258,117.334898
33.390463,269,117.454534
53.54598,249,117.553275
46.048515,239,117.66111
66.461542,290,117.794743
44.159288,239,117.903748
47.96632,244,118.013239
70.407274,305,118.509079
59.227861,273,118.631649
51.799057,248,118.740786
46.28546,229,118.843513
48.587127,232,118.951624
34.864432,203,119.038021
76.494051,323,119.191915
90.272423,363,119.364602
35.995997,209,119.834703
51.559711,240,119.946399
68.39455,303,120.09516
34.773036,214,120.186279
45.532828,228,120.283087
48.143425,242,120.395275
44.677898,224,120.492393
45.776367,229,120.594953
60.501694,300,120.72968
94.744421,382,121.283087
29.219188,214,121.380649
62.248181,281,121.505458
52.156536,250,121.611943
37.92093,222,121.703812
75.192574,397,121.906241
44.767106,238,122.011232
75.887075,322,122.519701
76.355846,323,122.671533
48.96123,239,122.777947
48.246437,232,122.887493
43.063449,216,122.983817
45.560544,229,123.087577
56.826147,264,123.214488
46.501982,239,123.322713
55.162303,302,123.822237
39.878166,208,123.91376
47.918782,281,124.052703
80.050472,340,124.221951
83.867553,357,124.39269
64.704276,311,124.545929
45.266283,220,124.645843
48.959957,232,125.111063
65.029919,289,125.245135
53.542373,245,125.358819
71.218511,307,125.499556
65.041707,281,125.635881
69.25119,296,125.778745
40.814158,259,125.90292
44.228091,279,126.402976
43.86924,226,126.50635
50.215205,239,126.612549
46.620293,246,126.72328
