algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,342.13975066415406,906,-0.019184736153575212
ppo,0,1,342.13975066415406,906,-0.019184736153575212
ppo,0,2,342.13975066415406,906,-0.019184736153575212
ppo,0,3,342.13975066415406,906,-0.019184736153575212
ppo,0,4,342.13975066415406,906,-0.019184736153575212
ppo,0,5,342.13975066415406,906,-0.019184736153575212
ppo,0,6,342.13975066415406,906,-0.019184736153575212
ppo,0,7,342.13975066415406,906,-0.019184736153575212
ppo,0,8,342.13975066415406,906,-0.019184736153575212
ppo,0,9,342.13975066415406,906,-0.019184736153575212
ppo,1,0,643.8137853020556,1446,0.014789466594803832
ppo,1,1,705.5620155032451,1577,0.0133223776886836
ppo,1,2,705.5620155032451,1577,0.0133223776886836
ppo,1,3,705.5620155032451,1577,0.0133223776886836
ppo,1,4,705.5620155032451,1577,0.0133223776886836
ppo,1,5,705.5620155032451,1577,0.0133223776886836
ppo,1,6,705.5620155032451,1577,0.0133223776886836
ppo,1,7,705.5620155032451,1577,0.0133223776886836
ppo,1,8,705.5620155032451,1577,0.0133223776886836
ppo,1,9,705.5620155032451,1577,0.0133223776886836
ppo,2,0,239.1952267354043,602,0.04288749160371147
ppo,2,1,244.15111960333834,614,0.039937839043919475
ppo,2,2,244.15111960333834,614,0.039937839043919475
ppo,2,3,244.15111960333834,614,0.039937839043919475
ppo,2,4,244.15111960333834,614,0.039937839043919475
ppo,2,5,244.15111960333834,614,0.039937839043919475
ppo,2,6,244.15111960333834,614,0.039937839043919475
ppo,2,7,244.15111960333834,614,0.039937839043919475
ppo,2,8,244.15111960333834,614,0.039937839043919475
ppo,2,9,244.15111960333834,614,0.039937839043919475
