algo,seed,episode,episode_return,episode_len,mean_forward_speed
a2c,0,0,1.2089128123478574,296,0.015417199176332462
a2c,0,1,1.2089128123478574,296,0.015417199176332462
a2c,0,2,1.2089128123478574,296,0.015417199176332462
a2c,0,3,1.2089128123478574,296,0.015417199176332462
a2c,0,4,1.2089128123478574,296,0.015417199176332462
a2c,0,5,1.2089128123478574,296,0.015417199176332462
a2c,0,6,1.2089128123478574,296,0.015417199176332462
a2c,0,7,1.2089128123478574,296,0.015417199176332462
a2c,0,8,1.2089128123478574,296,0.015417199176332462
a2c,0,9,1.2089128123478574,296,0.015417199176332462
a2c,1,0,23.836486124359514,1895,0.0021394594981271973
a2c,1,1,-10.883874312217936,319,-0.034661566998936084
a2c,1,2,-10.883874312217936,319,-0.034661566998936084
a2c,1,3,-10.883874312217936,319,-0.034661566998936084
a2c,1,4,-10.883874312217936,319,-0.034661566998936084
a2c,1,5,-10.883874312217936,319,-0.034661566998936084
a2c,1,6,-10.883874312217936,319,-0.034661566998936084
a2c,1,7,-10.883874312217936,319,-0.034661566998936084
a2c,1,8,-10.883874312217936,319,-0.034661566998936084
a2c,1,9,-10.883874312217936,319,-0.034661566998936084
a2c,2,0,2.7004734212073007,276,0.04537577786983913
a2c,2,1,2.7004734212073007,276,0.04537577786983913
a2c,2,2,2.7004734212073007,276,0.04537577786983913
a2c,2,3,2.7004734212073007,276,0.04537577786983913
a2c,2,4,2.7004734212073007,276,0.04537577786983913
a2c,2,5,2.7004734212073007,276,0.04537577786983913
a2c,2,6,2.7004734212073007,276,0.04537577786983913
a2c,2,7,2.7004734212073007,276,0.04537577786983913
a2c,2,8,2.7004734212073007,276,0.04537577786983913
a2c,2,9,2.7004734212073007,276,0.04537577786983913
tqc,0,0,-14.597469938240536,311,-0.04922892747668691
tqc,0,1,-8.216183015127172,299,-0.03407488638689648
tqc,0,2,-8.216183015127172,299,-0.03407488638689648
tqc,0,3,-8.216183015127172,299,-0.03407488638689648
tqc,0,4,-8.216183015127172,299,-0.03407488638689648
tqc,0,5,-8.216183015127172,299,-0.03407488638689648
tqc,0,6,-8.216183015127172,299,-0.03407488638689648
tqc,0,7,-8.216183015127172,299,-0.03407488638689648
tqc,0,8,-8.216183015127172,299,-0.03407488638689648
tqc,0,9,-8.216183015127172,299,-0.03407488638689648
tqc,1,0,-10.19383652312486,222,-0.03548840882659743
tqc,1,1,-18.93491680833518,319,0.058077657328085376
tqc,1,2,-18.93491680833518,319,0.058077657328085376
tqc,1,3,-18.93491680833518,319,0.058077657328085376
tqc,1,4,-18.93491680833518,319,0.058077657328085376
tqc,1,5,-18.93491680833518,319,0.058077657328085376
tqc,1,6,-18.93491680833518,319,0.058077657328085376
tqc,1,7,-18.93491680833518,319,0.058077657328085376
tqc,1,8,-18.93491680833518,319,0.058077657328085376
tqc,1,9,-18.93491680833518,319,0.058077657328085376
tqc,2,0,-9.598581974009395,272,0.04133856314742295
tqc,2,1,-13.197365963651642,303,0.05135711421734406
tqc,2,2,-13.197365963651642,303,0.05135711421734406
tqc,2,3,-13.197365963651642,303,0.05135711421734406
tqc,2,4,-13.197365963651642,303,0.05135711421734406
tqc,2,5,-13.197365963651642,303,0.05135711421734406
tqc,2,6,-13.197365963651642,303,0.05135711421734406
tqc,2,7,-13.197365963651642,303,0.05135711421734406
tqc,2,8,-13.197365963651642,303,0.05135711421734406
tqc,2,9,-13.197365963651642,303,0.05135711421734406
