algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,391.71667280270725,2000,0.0013329518720902615
ppo,0,1,388.4240648699223,2000,0.0012649413603580983
ppo,0,2,388.4240648699223,2000,0.0012649413603580983
ppo,0,3,388.4240648699223,2000,0.0012649413603580983
ppo,0,4,388.4240648699223,2000,0.0012649413603580983
ppo,0,5,388.4240648699223,2000,0.0012649413603580983
ppo,0,6,388.4240648699223,2000,0.0012649413603580983
ppo,0,7,388.4240648699223,2000,0.0012649413603580983
ppo,0,8,388.4240648699223,2000,0.0012649413603580983
ppo,0,9,388.4240648699223,2000,0.0012649413603580983
ppo,1,0,466.08526471328884,2000,0.00025646001720096344
ppo,1,1,466.08526471328884,2000,0.00025646001720096344
ppo,1,2,466.08526471328884,2000,0.00025646001720096344
ppo,1,3,466.08526471328884,2000,0.00025646001720096344
ppo,1,4,466.08526471328884,2000,0.00025646001720096344
ppo,1,5,466.08526471328884,2000,0.00025646001720096344
ppo,1,6,466.08526471328884,2000,0.00025646001720096344
ppo,1,7,466.08526471328884,2000,0.00025646001720096344
ppo,1,8,466.08526471328884,2000,0.00025646001720096344
ppo,1,9,466.08526471328884,2000,0.00025646001720096344
ppo,2,0,485.19615912265806,2000,-0.00017592622451049534
ppo,2,1,487.11983960747824,2000,-0.0001849411389661309
ppo,2,2,487.11983960747824,2000,-0.0001849411389661309
ppo,2,3,487.11983960747824,2000,-0.0001849411389661309
ppo,2,4,487.11983960747824,2000,-0.0001849411389661309
ppo,2,5,487.11983960747824,2000,-0.0001849411389661309
ppo,2,6,487.11983960747824,2000,-0.0001849411389661309
ppo,2,7,487.11983960747824,2000,-0.0001849411389661309
ppo,2,8,487.11983960747824,2000,-0.0001849411389661309
ppo,2,9,487.11983960747824,2000,-0.0001849411389661309
