algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,1.2010258562046496,185,0.03792366595659233
ppo,0,1,1.084769536874368,174,0.0319309657942377
ppo,0,2,1.084769536874368,174,0.0319309657942377
ppo,0,3,1.084769536874368,174,0.0319309657942377
ppo,0,4,1.084769536874368,174,0.0319309657942377
ppo,0,5,1.084769536874368,174,0.0319309657942377
ppo,0,6,1.084769536874368,174,0.0319309657942377
ppo,0,7,1.084769536874368,174,0.0319309657942377
ppo,0,8,1.084769536874368,174,0.0319309657942377
ppo,0,9,1.084769536874368,174,0.0319309657942377
ppo,1,0,0.7618341894609403,160,0.018638528217858795
ppo,1,1,0.7597336719635642,160,0.02026999623870948
ppo,1,2,0.7597336719635642,160,0.02026999623870948
ppo,1,3,0.7597336719635642,160,0.02026999623870948
ppo,1,4,0.7597336719635642,160,0.02026999623870948
ppo,1,5,0.7597336719635642,160,0.02026999623870948
ppo,1,6,0.7597336719635642,160,0.02026999623870948
ppo,1,7,0.7597336719635642,160,0.02026999623870948
ppo,1,8,0.7597336719635642,160,0.02026999623870948
ppo,1,9,0.7597336719635642,160,0.02026999623870948
ppo,2,0,14.616848125473863,597,0.022173499924698838
ppo,2,1,15.072800822773356,620,0.021636848073180205
ppo,2,2,15.072800822773356,620,0.021636848073180205
ppo,2,3,15.072800822773356,620,0.021636848073180205
ppo,2,4,15.072800822773356,620,0.021636848073180205
ppo,2,5,15.072800822773356,620,0.021636848073180205
ppo,2,6,15.072800822773356,620,0.021636848073180205
ppo,2,7,15.072800822773356,620,0.021636848073180205
ppo,2,8,15.072800822773356,620,0.021636848073180205
ppo,2,9,15.072800822773356,620,0.021636848073180205
sac,0,0,-4.6055703742781615,206,-0.06138810383307817
sac,0,1,-4.983424782596351,208,-0.0743887061652536
sac,0,2,-4.983424782596351,208,-0.0743887061652536
sac,0,3,-4.983424782596351,208,-0.0743887061652536
sac,0,4,-4.983424782596351,208,-0.0743887061652536
sac,0,5,-4.983424782596351,208,-0.0743887061652536
sac,0,6,-4.983424782596351,208,-0.0743887061652536
sac,0,7,-4.983424782596351,208,-0.0743887061652536
sac,0,8,-4.983424782596351,208,-0.0743887061652536
sac,0,9,-4.983424782596351,208,-0.0743887061652536
sac,1,0,-22.368285565905268,282,0.08715312323720856
sac,1,1,-14.533702646322888,262,0.058359823139240805
sac,1,2,-14.533702646322888,262,0.058359823139240805
sac,1,3,-14.533702646322888,262,0.058359823139240805
sac,1,4,-14.533702646322888,262,0.058359823139240805
sac,1,5,-14.533702646322888,262,0.058359823139240805
sac,1,6,-14.533702646322888,262,0.058359823139240805
sac,1,7,-14.533702646322888,262,0.058359823139240805
sac,1,8,-14.533702646322888,262,0.058359823139240805
sac,1,9,-14.533702646322888,262,0.058359823139240805
sac,2,0,-25.766033865804122,350,0.041890411428031654
sac,2,1,-23.57301905265129,258,-0.022435328972339165
sac,2,2,-23.57301905265129,258,-0.022435328972339165
sac,2,3,-23.57301905265129,258,-0.022435328972339165
sac,2,4,-23.57301905265129,258,-0.022435328972339165
sac,2,5,-23.57301905265129,258,-0.022435328972339165
sac,2,6,-23.57301905265129,258,-0.022435328972339165
sac,2,7,-23.57301905265129,258,-0.022435328972339165
sac,2,8,-23.57301905265129,258,-0.022435328972339165
sac,2,9,-23.57301905265129,258,-0.022435328972339165
