#{"t_start": 1776776297.555337, "env_id": "BDXCourseProject-v0"}
r,l,t
-20.742262,223,0.141887
-14.846307,191,0.241977
-21.737999,228,0.364652
-20.175602,223,0.487586
-20.469288,295,0.659208
-32.939485,332,0.851181
-14.258128,211,0.965606
-7.523128,191,1.067253
-14.298248,288,1.238118
-16.133111,190,1.339058
-21.159415,219,1.457803
-12.742474,191,1.559123
-19.298991,217,1.678167
-12.120296,185,1.775256
-14.141912,200,1.883979
-17.014939,217,2.001026
-12.343327,222,2.12464
-11.043212,204,2.234454
-29.404478,296,2.404289
-16.868691,228,2.52881
-11.120525,201,2.636502
-11.965852,201,2.742948
-18.060896,275,2.902601
-7.931489,210,3.01644
-9.829015,181,3.112332
-18.336336,293,3.279825
-29.3674,317,3.463234
-31.576993,321,3.651711
-11.6497,203,3.762514
-14.108842,215,3.878398
-15.870891,218,3.997174
-15.032124,218,4.115867
-18.2264,226,4.237513
-3.570454,192,4.338687
-7.146804,180,4.432629
-12.203442,203,4.547395
-20.13823,205,4.660083
-18.008164,222,4.78134
-17.425062,225,4.903239
-19.798191,291,5.06933
-31.62597,261,5.213797
-8.990763,199,5.323436
-14.691447,196,5.428003
-9.705243,195,5.532185
-8.919936,185,7.14879
-8.401551,179,8.751805
-22.955219,236,10.827508
-21.390622,236,12.890104
-8.687271,189,14.528271
-11.000824,227,16.509743
-24.645237,228,18.482631
-21.741002,281,20.981218
-19.672184,227,22.97922
-12.400556,224,24.922376
-11.45962,192,26.599539
-10.987898,191,28.701581
-13.529304,209,30.523731
-10.179749,240,32.66382
-8.355853,195,34.375312
-12.134089,204,36.171848
-11.675888,204,37.955636
-18.654114,208,39.869618
-19.753944,204,41.658431
-6.361878,195,43.432565
-11.252419,205,45.287308
-9.843354,186,46.931815
-10.306028,195,48.618858
-4.467253,177,50.156031
-19.550597,214,52.004065
-5.864984,199,53.727505
-12.856181,211,55.555368
-20.718217,213,57.41066
-27.353969,209,59.226749
-5.823092,171,60.694831
-23.165298,208,62.507279
-20.230006,189,64.142062
-10.574406,207,65.951249
-13.799995,203,67.718057
-14.707891,204,69.505942
-7.780381,177,71.040089
-19.565479,183,72.634054
-9.791558,185,74.238377
-12.53262,170,75.71017
-11.563265,180,77.269039
-7.175929,175,78.785067
-11.246332,185,80.39625
-9.435216,183,81.981048
-17.84301,187,83.602631
-15.522949,199,85.342126
-11.38497,188,86.966851
-38.077457,193,88.629696
-13.324961,182,90.213539
-20.959258,212,92.065492
-28.959783,191,93.728153
-23.432306,198,95.435419
-42.231298,188,97.07526
-36.877463,180,98.653483
-30.768116,192,100.342157
-37.113187,185,101.949496
-26.062214,182,103.534121
-14.796816,190,105.184384
-18.051101,193,106.853462
-10.551751,172,108.339354
-6.496477,178,109.877446
-23.398812,196,111.597118
-31.591829,173,113.096622
-20.79908,186,114.705031
-19.056109,203,116.457588
-22.08619,188,118.094958
-22.511498,196,119.795307
-7.786503,186,121.415119
-8.551034,184,122.999451
-14.181954,204,124.783079
-17.244608,205,126.554744
-30.321808,219,128.463842
-15.372554,194,130.146671
-11.323099,194,131.856729
-20.295842,209,133.679614
-16.141932,197,135.38896
-15.914238,201,137.138737
-14.396049,210,138.981436
-22.198132,218,140.904777
-16.509449,183,142.491556
-17.422294,198,144.204804
-23.969673,197,145.928837
-23.826359,193,147.624653
-18.878909,194,149.310634
-12.376804,180,150.876326
-6.736879,177,152.408878
-6.163224,182,153.987826
-9.659163,190,155.635723
-15.858644,181,157.197736
-17.676857,223,159.133778
-14.912828,189,160.796165
-11.911567,199,162.530735
-35.024267,218,164.419019
-7.480735,179,165.962973
-12.303968,189,167.601683
-23.083562,194,169.273997
-33.694862,236,171.350636
-20.994426,187,172.980563
-14.338421,194,174.666309
-12.919627,190,176.312199
-18.196546,202,178.062995
-8.119568,175,179.579002
-14.866398,209,181.3854
-12.935225,195,183.071102
-11.908588,178,184.615191
-10.06713,201,186.361016
-23.196118,193,188.043066
-14.43709,187,189.668038
-19.417484,177,191.19926
-35.827795,205,192.974055
-20.983153,193,194.631727
-14.927696,182,196.200143
-11.328915,178,197.733704
-12.255214,183,199.325363
-6.488461,172,200.826951
-10.919416,176,202.345455
-13.379247,171,203.833267
-10.578868,215,205.699196
-12.494823,189,207.342949
-14.836936,201,209.087277
-9.423868,186,210.697924
-22.401241,185,212.32477
-17.908184,214,214.211041
-30.92211,196,216.012206
-30.963561,189,217.674077
-27.800806,188,219.307964
-26.030924,193,221.010254
-25.358616,202,222.753613
-24.016562,182,224.332277
-12.985397,181,225.912373
-9.260803,180,227.469226
-18.812656,194,229.146328
-12.11391,188,230.799447
-15.077992,203,232.578332
-30.198024,199,234.306181
-15.676779,183,235.901398
-9.755346,176,237.430763
-18.544432,174,238.957092
-16.916408,179,240.502968
-14.500922,177,242.033803
-10.427906,186,243.637539
-11.752216,192,245.317221
-19.921937,194,247.010689
-19.787436,200,248.750341
-14.980676,190,250.396252
-10.6605,193,252.080573
-11.671697,183,253.685528
-33.301287,237,255.749781
-22.285918,202,257.504529
