algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,461.54550772872693,929,-0.02416861324637251
ppo,0,1,462.88059598588114,926,-0.024313754187135068
ppo,0,2,462.88059598588114,926,-0.024313754187135068
ppo,0,3,462.88059598588114,926,-0.024313754187135068
ppo,0,4,462.88059598588114,926,-0.024313754187135068
ppo,0,5,462.88059598588114,926,-0.024313754187135068
ppo,0,6,462.88059598588114,926,-0.024313754187135068
ppo,0,7,462.88059598588114,926,-0.024313754187135068
ppo,0,8,462.88059598588114,926,-0.024313754187135068
ppo,0,9,462.88059598588114,926,-0.024313754187135068
ppo,1,0,1095.3616658161159,2000,0.0007620761805002765
ppo,1,1,1101.9402060006369,2000,0.0007037980144059255
ppo,1,2,1101.9402060006369,2000,0.0007037980144059255
ppo,1,3,1101.9402060006369,2000,0.0007037980144059255
ppo,1,4,1101.9402060006369,2000,0.0007037980144059255
ppo,1,5,1101.9402060006369,2000,0.0007037980144059255
ppo,1,6,1101.9402060006369,2000,0.0007037980144059255
ppo,1,7,1101.9402060006369,2000,0.0007037980144059255
ppo,1,8,1101.9402060006369,2000,0.0007037980144059255
ppo,1,9,1101.9402060006369,2000,0.0007037980144059255
ppo,2,0,1106.33416236622,2000,-0.00047604237757430936
ppo,2,1,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,2,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,3,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,4,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,5,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,6,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,7,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,8,1105.5745750279339,2000,-0.0006014710620010557
ppo,2,9,1105.5745750279339,2000,-0.0006014710620010557
